L,Kint,K,m,q,delta,two_delta,S_real,S_imag,energy,mismatch
16,0,0.0,1,0.2945275515907753,0.7853722408635906,1.5707444817271812,5.1845067692219074e-5,0.9999999986560445,-16.913878790226306,-0.0661197252038086
14,0,0.0,1,0.3538986061835889,0.6643024103046704,1.3286048206093408,0.2398307470964786,0.9708147159716651,-14.126057507812604,-0.07411977200784214
12,0,0.0,1,0.4381280672448569,0.5128242501206515,1.025648500241303,0.5185444953599216,0.8550506454777542,-11.311094815212181,-0.07904400764347219
10,0,0.0,1,0.563832648592322,0.32242941062818353,0.6448588212563671,0.7991846354192891,0.6010856166219068,-8.44042608644716,-0.07239209769736643
16,0,0.0,2,0.7771686595270882,0.06583603096288027,0.13167206192576053,0.9913437514020083,0.13129191352171435,-16.425803818644383,-0.011590256271380106
14,0,0.0,2,0.9067161336806353,-0.06382762858486046,-0.12765525716972093,0.9918631264501057,-0.12730883075663557,-13.482670120645338,0.014309483072049822
12,0,0.0,2,1.0840982362007656,-0.22140411002500748,-0.44280822005001497,0.9035519655675746,-0.4284785239880438,-10.435419889556249,0.06458011044360745
16,0,0.0,3,1.2194555111113088,-0.33086612812109095,-0.6617322562421819,0.7889289712653458,-0.6144844003701015,-15.688314049030721,0.07705281569941924
10,0,0.0,2,1.3413879102983717,-0.4237542443122724,-0.8475084886245448,0.6618529191597722,-0.7496337194921852,-7.204802957398478,0.16323103135137984
14,0,0.0,3,1.4146081638502999,-0.4774791861827197,-0.9549583723654393,0.5776427385722083,-0.8162896952521204,-12.561107817466004,0.13393405044661488
10,0,0.0,3,1.5628637938799863,-1.5311336622203449,-3.0622673244406897,-0.9968553955506394,-0.07924216277701084,-6.765864899445631,-0.6338988881955796
12,0,0.0,3,1.5686712551991007,0.012750429574776234,0.02550085914955247,0.9996748707110208,0.02549809539757613,-9.504250139992253,-0.004250139992334034
14,0,0.0,4,1.5702524881326907,1.5746031974303385,3.149206394860677,-0.9999710156119469,-0.007613667710864439,-12.251087677270332,-0.4461295451829814
16,0,0.0,4,1.5706593940273255,3.142688115730362,6.285376231460724,0.9999975999263572,0.0021909225283438085,-15.000273865534629,-0.0002738655346279373
16,0,0.0,5,1.6511850674497834,2.498482728350698,4.996965456701396,0.28075098665366505,-0.9597806434248367,-14.839395629462361,-0.6047624941926024
12,0,0.0,4,1.6813880141685005,2.478042529348169,4.956085058696338,0.2412911358497875,-0.9704527746162197,-9.279267214281035,-0.7792672142812069
16,0,0.0,6,1.7416786980695318,1.7745336833927112,3.5490673667854225,-0.918124500350932,-0.39629206635428804,-14.659896130439556,-1.0741096928127707
14,0,0.0,5,1.7463963293678455,0.3415963087842542,0.6831926175685084,0.7755612636848898,0.6312723075436597,-11.900602110649517,-0.8975817143670959
12,0,0.0,5,1.7583036656527908,-1.1250440331473648,-2.2500880662947296,-0.6282421423101745,-0.7780178729473524,-9.127178986020521,-1.359229793589563
10,0,0.0,4,1.790106021151567,-2.667344798578249,-5.334689597156498,0.5829060436515044,0.8125395647441117,-6.314888192755422,-1.1829221815054343
16,0,0.0,7,1.906307497457568,-2.6840893653013715,-5.368178730602743,0.6097853630705072,0.7925665971922925,-14.341496236512569,-1.189255301535189
16,0,0.0,8,1.906307497457568,-2.6840893653013715,-5.368178730602743,0.6097853630705072,0.7925665971922925,-14.341496236512507,-1.3414962365124872
14,0,0.0,6,1.9116980692678354,-3.957108524105468,-7.914217048210936,-0.060198995433611714,-0.9981863958944662,-11.581325843272387,-1.1332635790772851
14,0,0.0,7,1.9754881320738042,-4.40363896374725,-8.8072779274945,-0.8153284804158019,-0.5789986779111498,-11.462529041687835,-1.2125290416878123
10,0,0.0,5,2.0680729551810506,-4.057179468725668,-8.114358937451335,-0.25744515588352407,-0.9662929119641249,-5.795932439537204,-1.0459324395371947
12,0,0.0,6,2.0918674346691777,-3.1264266472456868,-6.2528532944913735,0.9995400197711023,0.030327361836868665,-8.504381238811863,-1.0043812388119253
